Entity,Code,Year,Emissions,Ranking
United States of America,USA,1960,2887820432,
United States of America,USA,1961,2877369848,
United States of America,USA,1956,2852384536,
China,CHN,1993,2835795473,
United States of America,USA,1957,2828311059,
United States of America,USA,1959,2823004663,
United States of America,USA,1958,2740357382,
United States of America,USA,1955,2721022901,
China,CHN,1992,2653192085,
India,IND,2019,2616448820,3
United States of America,USA,1951,2612719479,
United States of America,USA,1953,2606057162,
India,IND,2018,2591323739,3
United States of America,USA,1948,2577396806,
United States of America,USA,1952,2545379846,
China,CHN,1991,2538029952,
United States of America,USA,1950,2536095692,
Russia,RUS,1990,2525293782,
United States of America,USA,1954,2483296072,
United States of America,USA,1947,2481044128,
India,IND,2017,2456847641,3
United States of America,USA,1944,2440436276,
China,CHN,1990,2420789420,
Russia,RUS,1988,2410627189,
Russia,RUS,1991,2395977960,
India,IND,2016,2392359728,3
China,CHN,1989,2386884968,
Russia,RUS,1986,2357642510,
Russia,RUS,1989,2356630343,
United States of America,USA,1945,2355413449,
Russia,RUS,1985,2351675385,
Russia,RUS,1987,2347912201,
China,CHN,1988,2347763494,
United States of America,USA,1943,2267574855,
India,IND,2015,2253428782,3
United States of America,USA,1946,2253294579,
United States of America,USA,1942,2194073151,
China,CHN,1987,2191053006,
India,IND,2014,2184432168,3
Russia,RUS,1984,2180495581,
Russia,RUS,1983,2161337744,
United States of America,USA,1949,2160380182,
Russia,RUS,1980,2132301146,
Russia,RUS,1982,2131135810,
Russia,RUS,1981,2091652550,
China,CHN,1986,2052241986,
Russia,RUS,1979,2051614911,
United States of America,USA,1941,2039420938,
Russia,RUS,1978,2034806506,
India,IND,2013,2033412295,3
Russia,RUS,1977,1967275385,
United States of America,USA,1929,1960553316,
Russia,RUS,1992,1957658894,
China,CHN,1985,1951773228,
India,IND,2012,1941312654,3
United States of America,USA,1923,1906244682,
United States of America,USA,1926,1902951801,
Russia,RUS,1976,1902632032,
United States of America,USA,1940,1871653116,
United States of America,USA,1927,1859812373,
Russia,RUS,1993,1859459631,
Russia,RUS,1975,1832155178,
United States of America,USA,1928,1827936050,
China,CHN,1984,1802317096,
United States of America,USA,1937,1789832123,
India,IND,2011,1766065040,3
United States of America,USA,1925,1755017252,
United States of America,USA,1918,1751950600,
United States of America,USA,1920,1744764634,
Russia,RUS,1974,1742933889,
United States of America,USA,1930,1742554525,
United States of America,USA,1936,1710856570,
United States of America,USA,1924,1708890217,
Russia,RUS,2018,1691360426,4
Russia,RUS,2012,1679866196,4
Russia,RUS,1973,1678914740,
India,IND,2010,1678478677,
Russia,RUS,2019,1678366791,4
United States of America,USA,1917,1676785935,
United States of America,USA,1939,1667993206,
Russia,RUS,2011,1664953147,4
China,CHN,1983,1655810483,
Russia,RUS,2017,1646179810,4
Russia,RUS,1994,1641399160,
Russia,RUS,2008,1636694375,
Russia,RUS,2015,1622861010,4
Russia,RUS,2014,1622348909,4
Russia,RUS,2013,1619172892,4
Russia,RUS,2016,1618304258,4
Russia,RUS,1995,1612928320,
Russia,RUS,2010,1612884814,
India,IND,2009,1612514671,
Russia,RUS,1972,1610795994,
Russia,RUS,2006,1606313355,
Russia,RUS,2007,1604323814,
Russia,RUS,1996,1580160844,
China,CHN,1982,1570468325,
Russia,RUS,2005,1547375781,
Russia,RUS,1971,1530888720,
Russia,RUS,2004,1530473625,
Russia,RUS,2009,1528764918,
Russia,RUS,2003,1525389951,
United States of America,USA,1916,1524475212,
United States of America,USA,1938,1513492359,
Russia,RUS,2001,1507500880,
Russia,RUS,2002,1495483578,
United States of America,USA,1935,1490299383,
China,CHN,1979,1487113100,
Russia,RUS,1999,1486090034,
United States of America,USA,1919,1484187912,
United States of America,USA,1931,1483058875,
Russia,RUS,1997,1475157172,
Russia,RUS,2000,1471052231,
India,IND,2008,1462573990,
China,CHN,1980,1458886738,
Russia,RUS,1998,1458157135,
China,CHN,1978,1455257506,
United States of America,USA,1913,1448383742,
United States of America,USA,1922,1443529390,
China,CHN,1981,1442782279,
Russia,RUS,1970,1442530094,
United States of America,USA,1934,1434582502,
United States of America,USA,1921,1430737628,
United States of America,USA,1915,1372983330,
Russia,RUS,1969,1371484061,
India,IND,2007,1357915604,
United States of America,USA,1912,1348624553,
United States of America,USA,1933,1347302111,
United States of America,USA,1914,1323621466,
Russia,RUS,1968,1316893364,
Japan,JPN,2013,1314702999,5
Japan,JPN,2012,1305432850,5
China,CHN,1977,1304402788,
Japan,JPN,2007,1302524285,
Japan,JPN,2005,1290056277,
Japan,JPN,2003,1287642182,
Japan,JPN,2004,1282872083,
Russia,RUS,1967,1280896123,
Japan,JPN,2002,1279452965,
United States of America,USA,1910,1276139503,
Japan,JPN,2006,1266828606,
Japan,JPN,2000,1264844261,
Japan,JPN,2011,1264155127,5
United States of America,USA,1911,1263458518,
Japan,JPN,2014,1263049942,5
India,IND,2006,1259522463,
United States of America,USA,1932,1256452837,
Japan,JPN,1996,1251867569,
Japan,JPN,2001,1250211046,
Japan,JPN,1997,1245112034,
Japan,JPN,1999,1242015307,
Japan,JPN,1995,1239928158,
Japan,JPN,2008,1231909525,
Japan,JPN,1994,1227566840,
Russia,RUS,1966,1224976203,
Japan,JPN,2015,1222781315,5
Japan,JPN,2010,1214068556,
United States of America,USA,1907,1206404060,
Japan,JPN,1998,1205416319,
Japan,JPN,2016,1203167018,5
China,CHN,1976,1190964522,
Japan,JPN,2017,1187661454,5
India,IND,2005,1185760668,
Japan,JPN,1992,1179740098,
Japan,JPN,1993,1172647309,
Japan,JPN,1991,1170065729,
United States of America,USA,1909,1169267069,
Japan,JPN,2009,1162647866,
Russia,RUS,1965,1159985331,
Japan,JPN,1990,1158391311,
China,CHN,1975,1142101906,
Japan,JPN,2018,1135688000,5
India,IND,2004,1125263670,
Germany,DEU,1979,1117882127,
Japan,JPN,2019,1106664426,5
Germany,DEU,1980,1100059450,
Russia,RUS,1964,1093519361,
Germany,DEU,1976,1090836540,
Germany,DEU,1973,1085736251,
Germany,DEU,1978,1079127232,
Germany,DEU,1974,1062724340,
India,IND,2003,1059415912,
United States of America,USA,1908,1055658857,
Germany,DEU,1977,1052604106,
Germany,DEU,1990,1052348544,
Germany,DEU,1969,1052000832,
Germany,DEU,1981,1048516608,
Germany,DEU,1986,1047463241,
Germany,DEU,1985,1044110086,
Germany,DEU,1972,1041479508,
United States of America,USA,1906,1037809221,
Germany,DEU,1971,1037236087,
Germany,DEU,1984,1033236627,
Germany,DEU,1987,1032433846,
Germany,DEU,1988,1029014344,
Russia,RUS,1963,1028218403,
Germany,DEU,1970,1026022305,
India,IND,2002,1022848986,
Japan,JPN,1989,1021684766,
Germany,DEU,1982,1015726852,
Germany,DEU,1991,1014199715,
Germany,DEU,1983,1011597196,
Germany,DEU,1989,1008781469,
Germany,DEU,1975,1002443887,
India,IND,2001,992529169,
United States of America,USA,1905,987989072,
Japan,JPN,1988,985467064,
China,CHN,1974,985085216,
Germany,DEU,1968,984790813,
India,IND,2000,978426962,
Germany,DEU,1964,968917486,
Germany,DEU,1992,965889813,
China,CHN,1973,965646606,
Germany,DEU,1965,960102238,
Germany,DEU,1996,959124130,
Russia,RUS,1962,958756855,
Germany,DEU,1993,956233108,
Japan,JPN,1979,953072922,
India,IND,1999,951671195,
Germany,DEU,1966,951421993,
Germany,DEU,1963,945497986,
Japan,JPN,1980,944870324,
Germany,DEU,1994,939630279,
Germany,DEU,1995,939176704,
Japan,JPN,1984,937072098,
Germany,DEU,1967,936229418,
Japan,JPN,1977,933238709,
Germany,DEU,1997,931230070,
China,CHN,1972,928893950,
Japan,JPN,1981,926837360,
Germany,DEU,1998,923275909,
Germany,DEU,2001,916366135,
Japan,JPN,1974,914306791,
Japan,JPN,1973,914265671,
Russia,RUS,1961,913525349,
Japan,JPN,1985,912402996,
Japan,JPN,1986,912262211,
Japan,JPN,1976,907145369,
Japan,JPN,1987,902532780,
Japan,JPN,1978,901591440,
Germany,DEU,2003,900866405,
Germany,DEU,2002,899821053,
Germany,DEU,2000,899780198,
Japan,JPN,1982,897409726,
United States of America,USA,1903,896937149,
Germany,DEU,1999,895642931,
Germany,DEU,2004,886965974,
Russia,RUS,1960,885861131,
Germany,DEU,1962,883168603,
United States of America,USA,1904,882952734,
Japan,JPN,1983,880911504,
Germany,DEU,2006,877997391,
India,IND,1998,877939472,
China,CHN,1971,874016359,
Japan,JPN,1975,868511407,
Germany,DEU,2005,866388549,
India,IND,1997,859929300,
Germany,DEU,2008,854706334,
Japan,JPN,1972,852170481,
Germany,DEU,2007,851383305,
Russia,RUS,1959,850894258,
Germany,DEU,1961,834839623,
Germany,DEU,2010,832669735,
Germany,DEU,2013,831316279,6
India,IND,1996,826151223,
Germany,DEU,1960,813950210,
Germany,DEU,2012,813893121,6
Germany,DEU,2011,809426950,6
Russia,RUS,1958,809350974,
Germany,DEU,2016,800510288,6
Japan,JPN,1971,796544398,
Germany,DEU,2015,795816359,6
Germany,DEU,2014,792684874,6
Germany,DEU,2009,790195717,
Germany,DEU,2017,786654551,6
Iran,IRN,2019,779526533,6
China,CHN,1960,778979466,
Germany,DEU,1957,777907669,
China,CHN,1970,770167190,
Japan,JPN,1970,767963110,
United States of America,USA,1902,766638331,
Germany,DEU,1956,766190820,
India,IND,1995,762337913,
Russia,RUS,1957,758277014,
Germany,DEU,1958,756379172,
Germany,DEU,1959,755794581,
Iran,IRN,2018,755402186,6
Germany,DEU,2018,755362342,7
Ukraine,UKR,1988,726139205,
Iran,IRN,2017,724578499,7
Germany,DEU,1955,723498418,
United States of America,USA,1901,723181839,
China,CHN,1959,720152147,
India,IND,1994,717127462,
Ukraine,UKR,1986,710366797,
Ukraine,UKR,1989,709737677,
Ukraine,UKR,1985,708664661,
Ukraine,UKR,1987,707343117,
Ukraine,UKR,1990,705829992,
Germany,DEU,2019,701955108,7
Russia,RUS,1956,692937650,
Germany,DEU,1943,679430146,
India,IND,1993,678115765,
Germany,DEU,1942,667899432,
United States of America,USA,1900,664123032,
Germany,DEU,1941,660793188,
United Kingdom,GBR,1971,660388284,
Germany,DEU,1954,659731927,
United Kingdom,GBR,1973,659577322,
Ukraine,UKR,1984,657119334,
India,IND,1992,656222624,
Germany,DEU,1940,654325001,
Japan,JPN,1969,653215421,
United Kingdom,GBR,1970,652577395,
Ukraine,UKR,1983,651443739,
Germany,DEU,1939,648625487,
Iran,IRN,2016,648060686,7
United Kingdom,GBR,1972,648026448,
Saudi Arabia,SAU,2015,645408616,7
United Kingdom,GBR,1979,644513312,
Ukraine,UKR,1980,642992040,
Ukraine,UKR,1982,642440577,
Iran,IRN,2014,641916428,7
Iran,IRN,2015,640811187,8
South Korea,KOR,2018,634934068,8
Ukraine,UKR,1991,632536626,
Russia,RUS,1955,632007128,
Ukraine,UKR,1981,630624112,
United Kingdom,GBR,1969,628382547,
United States of America,USA,1899,625532736,
Germany,DEU,1953,623491977,
United Kingdom,GBR,1965,622111621,
South Korea,KOR,2017,620610020,8
Ukraine,UKR,1979,618744885,
United Kingdom,GBR,1966,618074666,
South Korea,KOR,2016,617960077,8
Indonesia,IDN,2019,617512648,8
United Kingdom,GBR,1974,617183890,
India,IND,1991,616105953,
Ukraine,UKR,1978,613767883,
South Korea,KOR,2019,611263215,9
Germany,DEU,1952,610980580,
Iran,IRN,2013,608710066,7
United Kingdom,GBR,1991,608579167,
United Kingdom,GBR,1964,607865989,
United Kingdom,GBR,1968,606488304,
United Kingdom,GBR,1978,604713989,
United Kingdom,GBR,1977,604362140,
United Kingdom,GBR,1963,603385663,
United Kingdom,GBR,1975,603247367,
Saudi Arabia,SAU,2014,601895936,8
Germany,DEU,1938,601272623,
Iran,IRN,2012,600683960,7
United Kingdom,GBR,1990,600479498,
Germany,DEU,1944,600273120,
United Kingdom,GBR,1976,598526350,
South Korea,KOR,2015,595393885,9
Canada,CAN,2007,594220571,
Ukraine,UKR,1977,593502485,
United Kingdom,GBR,1992,593092653,
United Kingdom,GBR,1962,592931499,
United Kingdom,GBR,1967,592057027,
South Korea,KOR,2013,591539853,8
Ukraine,UKR,1992,589060251,
United Kingdom,GBR,1961,588614801,
United Kingdom,GBR,1996,588444223,
South Korea,KOR,2011,588403868,7
Canada,CAN,2003,587178149,
South Korea,KOR,2014,586547889,9
Canada,CAN,2018,586504635,9
Canada,CAN,2004,585703098,
United Kingdom,GBR,1960,584020018,
South Korea,KOR,2012,583631857,8
Saudi Arabia,SAU,2019,582149599,10
United Kingdom,GBR,1989,581577310,
Saudi Arabia,SAU,2017,579416606,9
Iran,IRN,2011,579040039,8
United Kingdom,GBR,1980,579035975,
United Kingdom,GBR,1993,578842161,
India,IND,1990,578687007,
United Kingdom,GBR,1955,576951647,
Germany,DEU,1951,576865541,
Saudi Arabia,SAU,2018,576757836,10
Canada,CAN,2019,576650511,11
Indonesia,IDN,2018,576584390,11
Canada,CAN,2005,576434464,
Canada,CAN,2013,576327006,9
United Kingdom,GBR,2001,576195443,
China,CHN,1969,575944671,
Canada,CAN,2014,575942179,10
Canada,CAN,2015,575906939,10
Canada,CAN,2008,575586908,
United Kingdom,GBR,1994,575107909,
United Kingdom,GBR,1956,574323549,
Ukraine,UKR,1976,574091663,
United Kingdom,GBR,2004,573215815,
Canada,CAN,2017,572834389,10
Canada,CAN,2000,572162103,
United Kingdom,GBR,2003,571770571,
United Kingdom,GBR,1987,571668517,
Canada,CAN,2006,570950381,
Canada,CAN,2002,570844778,
United Kingdom,GBR,1957,570714144,
United Kingdom,GBR,1988,570294856,
United Kingdom,GBR,2005,569927432,
Canada,CAN,2012,569737013,9
United Kingdom,GBR,1986,568554786,
Indonesia,IDN,2016,568193857,9
United Kingdom,GBR,1998,567813710,
United Kingdom,GBR,2006,567527678,
United Kingdom,GBR,2000,567503903,
United Kingdom,GBR,1995,566811321,
Canada,CAN,2011,566740991,9
South Korea,KOR,2010,565960803,
Saudi Arabia,SAU,2016,565750719,10
Canada,CAN,2001,564946398,
Iran,IRN,2010,564034509,
Canada,CAN,2016,564032530,11
Germany,DEU,1937,563512571,
Saudi Arabia,SAU,2012,563179493,10
United Kingdom,GBR,1997,562561266,
Japan,JPN,1968,561912555,
United Kingdom,GBR,1999,560951503,
United Kingdom,GBR,1981,560555007,
United Kingdom,GBR,2002,560300624,
United Kingdom,GBR,1985,559628081,
United Kingdom,GBR,2007,559248754,
Russia,RUS,1954,557374828,
United Kingdom,GBR,1958,556315842,
Canada,CAN,2010,555549849,
United Kingdom,GBR,1954,553009696,
Ukraine,UKR,1975,552918680,
China,CHN,1961,550958537,
Canada,CAN,1999,549553212,
United Kingdom,GBR,1982,548240956,
Iran,IRN,2009,546884971,
United Kingdom,GBR,1959,546606132,
United Kingdom,GBR,1983,545485794,
United States of America,USA,1898,545320448,
United Kingdom,GBR,1951,545252811,
United Kingdom,GBR,2008,544812026,
Canada,CAN,2009,542549600,
India,IND,1989,541292284,
Saudi Arabia,SAU,2013,540805232,10
United Kingdom,GBR,1953,540210740,
Germany,DEU,1929,538941614,
Germany,DEU,1913,535083232,
Iran,IRN,2008,534910112,
Canada,CAN,1998,533639793,
Indonesia,IDN,2017,531011978,11
France,FRA,1979,530280737,
United Kingdom,GBR,1984,529108886,
United Kingdom,GBR,1952,528706108,
Indonesia,IDN,2012,526383107,11
Ukraine,UKR,1974,526068721,
Canada,CAN,1997,524789167,
China,CHN,1958,524617469,
Germany,DEU,1917,524578544,
Brazil,BRA,2014,523894030,11
China,CHN,1966,521458919,
Saudi Arabia,SAU,2010,517715947,
France,FRA,1973,517542304,
Iran,IRN,2007,513313824,
United Kingdom,GBR,2010,512023702,
Canada,CAN,1996,510736656,
Germany,DEU,1950,510681830,
Russia,RUS,1953,510351894,
Ukraine,UKR,1993,510199537,
Indonesia,IDN,2011,508073307,10
United Kingdom,GBR,1916,507071952,
Indonesia,IDN,2015,507012048,11
Ukraine,UKR,1973,506813951,
South Korea,KOR,2009,506764395,
France,FRA,1978,506740674,
France,FRA,1976,506614687,
France,FRA,1980,506254987,
South Korea,KOR,2008,505782554,
Germany,DEU,1928,504857036,
Iran,IRN,2006,503790565,
Germany,DEU,1918,503422608,
South Africa,ZAF,2009,502259444,
United Kingdom,GBR,1917,501169248,
United Kingdom,GBR,1950,500792103,
Germany,DEU,1916,500696592,
United States of America,USA,1897,500286224,
Italy,ITA,2005,500005676,
France,FRA,1974,499968363,
Germany,DEU,1936,499634416,
Italy,ITA,2004,499619393,
Germany,DEU,1912,499121072,
United Kingdom,GBR,1913,498322320,
Germany,DEU,1914,497926608,
Saudi Arabia,SAU,2011,497659010,11
Mexico,MEX,2012,496299580,12
Brazil,BRA,2015,495213709,12
Italy,ITA,2006,495124198,
Brazil,BRA,2013,495046768,11
Canada,CAN,1995,494920255,
South Africa,ZAF,2008,494642254,
United Kingdom,GBR,2009,494294219,
Italy,ITA,2003,494183287,
South Korea,KOR,2007,493353378,
Mexico,MEX,2008,492979670,
India,IND,1988,492290758,
Mexico,MEX,2013,490129670,12
United Kingdom,GBR,1915,489481088,
Japan,JPN,1967,489307430,
United Kingdom,GBR,2012,487795845,13
Italy,ITA,2007,487693306,
Ukraine,UKR,1972,486316173,
United Kingdom,GBR,1949,485108718,
Mexico,MEX,2016,484628855,12
Brazil,BRA,2017,484588129,12
Mexico,MEX,2011,484164841,12
United Kingdom,GBR,1914,483182672,
Canada,CAN,1994,482436579,
Russia,RUS,1952,482403548,
Mexico,MEX,2015,481974591,13
France,FRA,1977,481907906,
South Africa,ZAF,2014,481884688,12
France,FRA,1972,481587950,
United Kingdom,GBR,1911,481350672,
Mexico,MEX,2014,481128786,13
Germany,DEU,1927,481042896,
United States of America,USA,1896,480881680,
United States of America,USA,1895,479947360,
Mexico,MEX,2007,479786812,
South Africa,ZAF,2019,478608101,12
South Korea,KOR,2004,478605781,
Brazil,BRA,2016,478442801,13
United Kingdom,GBR,2013,477900965,13
Mexico,MEX,2006,476565216,
Italy,ITA,2002,476251236,
Italy,ITA,2008,476229971,
United Kingdom,GBR,1924,475982912,
Mexico,MEX,2009,475903054,
United Kingdom,GBR,1948,475563216,
United Kingdom,GBR,1940,475143856,
China,CHN,1965,474680625,
South Africa,ZAF,2011,473948952,13
United Kingdom,GBR,1907,473568336,
Germany,DEU,1921,473179952,
South Africa,ZAF,2018,472001239,12
United Kingdom,GBR,1920,470014256,
United Kingdom,GBR,2011,469803790,14
United Kingdom,GBR,1910,469732128,
United Kingdom,GBR,1941,469651502,
United Kingdom,GBR,1942,468899907,
Italy,ITA,2001,468642863,
Italy,ITA,2000,468442086,
United Kingdom,GBR,1937,468130764,
China,CHN,1968,467805643,
Canada,CAN,1993,467406411,
Canada,CAN,1992,467037420,
South Africa,ZAF,2010,466930008,
United Kingdom,GBR,1918,466848560,
United Kingdom,GBR,1927,466734976,
Brazil,BRA,2018,466649304,13
South Africa,ZAF,2017,466103224,13
United Kingdom,GBR,1909,466086448,
Saudi Arabia,SAU,2009,465844309,
Brazil,BRA,2019,465715770,13
South Korea,KOR,2006,465605910,
South Africa,ZAF,2007,464800275,
Italy,ITA,1999,464548481,
Mexico,MEX,2005,463993190,
Mexico,MEX,2010,463782514,
Poland,POL,1987,463732639,
South Korea,KOR,2002,463628014,
Iran,IRN,2005,463529947,
Poland,POL,1980,463329078,
France,FRA,1971,463131419,
Germany,DEU,1915,462906096,
Canada,CAN,1989,462817669,
South Korea,KOR,2003,462407318,
Ukraine,UKR,1971,462262195,
Canada,CAN,1990,462117351,
United Kingdom,GBR,1908,461964448,
Germany,DEU,1930,461710705,
United Kingdom,GBR,1947,461269014,
Mexico,MEX,2017,461238024,14
South Africa,ZAF,2012,461138966,14
United Kingdom,GBR,1929,460673784,
Brazil,BRA,2012,460098000,15
Italy,ITA,1998,460049199,
South Africa,ZAF,2016,460042968,14
South Korea,KOR,2005,459345664,
Germany,DEU,1911,458586240,
Germany,DEU,1925,458065952,
United Kingdom,GBR,1919,456131360,
India,IND,1987,455893659,
United Kingdom,GBR,1912,455885872,
South Africa,ZAF,2013,455865944,14
France,FRA,1981,455649597,
Canada,CAN,1988,455607982,
Germany,DEU,1922,455460848,
United Kingdom,GBR,1923,454892928,
United Kingdom,GBR,1943,454820343,
United States of America,USA,1893,454094176,
United Kingdom,GBR,1936,453795969,
United Kingdom,GBR,1906,453350384,
Canada,CAN,1991,452494723,
United Kingdom,GBR,1939,452456368,
Germany,DEU,1935,452332832,
Poland,POL,1986,451848670,
Germany,DEU,1924,451793184,
South Africa,ZAF,2015,451590120,14
Mexico,MEX,2018,451080829,14
Russia,RUS,1951,450490871,
United States of America,USA,1892,450448496,
United Kingdom,GBR,1925,449657072,
South Africa,ZAF,2004,449078688,
United Kingdom,GBR,1938,448939989,
South Korea,KOR,2001,448550576,
Italy,ITA,1995,448332906,
Italy,ITA,1997,448044941,
France,FRA,1975,447748158,
Indonesia,IDN,2009,447098827,
Germany,DEU,1908,446641600,
South Africa,ZAF,2006,446622588,
Germany,DEU,1909,445571712,
South Korea,KOR,2000,445440693,
Germany,DEU,1910,445366528,
Poland,POL,1985,444507861,
Poland,POL,1988,444229969,
Canada,CAN,1980,442817250,
Italy,ITA,1996,442277406,
Germany,DEU,1907,442182512,
Iran,IRN,2004,442089679,
United Kingdom,GBR,1944,442024559,
Canada,CAN,1979,441646888,
Poland,POL,1979,441308627,
United Kingdom,GBR,1930,441073652,
France,FRA,1970,439625058,
China,CHN,1962,439342105,
United Kingdom,GBR,2014,439057507,14
Mexico,MEX,2004,438856697,
Mexico,MEX,2019,438497623,14
France,FRA,1982,438055643,
Italy,ITA,1990,438008802,
Italy,ITA,1992,437829804,
Mexico,MEX,2003,437757538,
United Kingdom,GBR,1905,437672128,
United Kingdom,GBR,1928,437639702,
Italy,ITA,1991,437538597,
United Kingdom,GBR,1946,436128220,
China,CHN,1964,435703723,
Ukraine,UKR,1970,435650903,
China,CHN,1963,435517597,
Italy,ITA,2010,433688024,
Poland,POL,1984,432467362,
Saudi Arabia,SAU,2008,432336410,
China,CHN,1967,432223557,
Germany,DEU,1949,432148044,
United Kingdom,GBR,1904,431992928,
Saudi Arabia,SAU,2006,431291968,
Canada,CAN,1987,430921681,
Poland,POL,1978,430870059,
Italy,ITA,1993,430179958,
United Kingdom,GBR,1903,429985056,
Brazil,BRA,2011,429959368,15
Canada,CAN,1981,429598229,
Germany,DEU,1920,429208288,
United Kingdom,GBR,1935,429106888,
United Kingdom,GBR,1922,428222672,
Indonesia,IDN,2010,428174280,
South Korea,KOR,1997,427786068,
United States of America,USA,1891,427423920,
India,IND,1986,426824570,
France,FRA,2005,426779182,
United Kingdom,GBR,1902,426639824,
France,FRA,1991,426500858,
France,FRA,1998,425464970,
Turkey,TUR,2017,425329230,15
Canada,CAN,1984,425199320,
United States of America,USA,1894,425049648,
Italy,ITA,1994,424581721,
France,FRA,1983,423997071,
France,FRA,2004,423630591,
United Kingdom,GBR,1934,423203640,
France,FRA,2003,422641209,
Italy,ITA,2009,422624187,
United Kingdom,GBR,2015,422490611,15
Poland,POL,1989,422175098,
Italy,ITA,2011,422039475,16
France,FRA,1999,421704995,
Canada,CAN,1985,421675565,
Poland,POL,1983,421023769,
Poland,POL,1982,420970430,
France,FRA,2001,420848089,
United Kingdom,GBR,1900,419740512,
Ukraine,UKR,1994,419266301,
Japan,JPN,1966,419245117,
Turkey,TUR,2018,419194747,15
Poland,POL,1977,417954963,
United Kingdom,GBR,1945,417624399,
Indonesia,IDN,2008,417561760,
Indonesia,IDN,2014,416823174,15
France,FRA,2000,416265916,
France,FRA,2006,416003756,
Australia,AUS,2018,415953947,16
South Africa,ZAF,2005,415924640,
France,FRA,2002,415838304,
France,FRA,1992,415708870,
Russia,RUS,1950,415674029,
Canada,CAN,1978,415505368,
Australia,AUS,2017,415097428,16
United Kingdom,GBR,1899,414552288,
Canada,CAN,1982,414426397,
Ukraine,UKR,1969,414189751,
Iran,IRN,2003,413993478,
France,FRA,1969,413759468,
Germany,DEU,1926,413236912,
France,FRA,1996,413197282,
United Kingdom,GBR,1931,412212451,
Mexico,MEX,2002,411967687,
Brazil,BRA,2010,411240192,
Indonesia,IDN,2013,411191030,15
Australia,AUS,2016,411031531,15
Australia,AUS,2019,411015667,15
United Kingdom,GBR,1901,410701424,
Mexico,MEX,2001,410697922,
Poland,POL,1981,408996956,
Germany,DEU,1934,408619770,
Canada,CAN,1983,408309646,
Canada,CAN,1977,407771405,
Australia,AUS,2009,407463328,
France,FRA,1984,407341231,
Australia,AUS,2012,406506242,16
France,FRA,1997,406187404,
Australia,AUS,2010,405502799,
France,FRA,2007,405194391,
Turkey,TUR,2019,405126365,16
Italy,ITA,1989,404742710,
Canada,CAN,1986,404660086,
Australia,AUS,2008,404417407,
South Africa,ZAF,2003,404173093,
Australia,AUS,2011,404172757,17
France,FRA,1985,402487646,
United States of America,USA,1890,401746608,
Australia,AUS,2015,401554757,16
Italy,ITA,2012,401554709,17
South Korea,KOR,1996,401529624,
